threshold_months,n_loyal,pct_of_pop,subset_churn_rate,ratio_pop_over_subset,churn_gap,log_n,score_A,meets_min_n
12,4974,70.62331392872355,0.17490952955367914,1.5171836061239579,0.34088399323351415,8.51197962436335,12.91423594174524,True
15,4672,66.3353684509442,0.16481164383561644,1.6101403069456457,0.3789361115386589,8.449342524508063,13.60462696590031,True
18,4406,62.55856879170808,0.15410803449841126,1.7219729760191813,0.4192707934872604,8.39072252736229,14.448597441393227,True
21,4165,59.136731506460315,0.14837935174069627,1.7884555208021737,0.4408583337026625,8.334471554600944,14.905831664794734,True
24,3927,55.75748970609116,0.14285714285714285,1.8575890955558714,0.4616678131926929,8.27563105457801,15.372722005827647,True
27,3675,52.17946897628851,0.1360544217687075,1.9504685503336647,0.487302679231136,8.209308411646937,16.01199787690696,True
30,3474,49.325571489422124,0.13241220495106507,2.0041194155158686,0.5010277370410106,8.153061946801051,16.339709743487592,True
33,3268,46.40068152775806,0.1251529987760098,2.1203636619897264,0.5283827873839289,8.091933455979893,17.157841655298707,True
36,3051,43.31960812153912,0.12061619141265159,2.2001181407379518,0.5454789533872098,8.02322468471667,17.65204217606168,True
39,2877,40.84906999858015,0.11470281543274244,2.313542782646858,0.5677624777459578,7.964503363551548,18.426219274111308,True
42,2687,38.15135595626863,0.10755489393375511,2.467297033988446,0.5946981712276955,7.8961806086154915,19.482222995474086,True
45,2506,35.581428368592924,0.10135674381484437,2.618176756728354,0.6180548171814078,7.826443135456014,20.491011505107114,True
48,2303,32.69913389180747,0.09639600521059488,2.752913569540007,0.6367484940084431,7.741967899820685,21.312968486359516,True
51,2105,29.887831889819676,0.08931116389548693,2.9712956277698397,0.663446480836857,7.652070746116482,22.736564351321398,True
54,1887,26.7925599886412,0.08373078961314255,3.1693224442259758,0.6844751464711809,7.54274354536855,23.905386409377154,True
57,1675,23.782479057219934,0.07522388059701493,3.527734393487624,0.7165319470065403,7.423568444259167,26.188377723222477,True
60,1483,21.05636802498935,0.0667565745111261,3.9751870544146564,0.7484395108176238,7.301822342137932,29.026109648102413,True
63,1261,17.90430214397274,0.063441712926249,4.182892588385632,0.7609309876192768,7.13966033596492,29.864432302898532,True
66,1033,14.667045293198921,0.06098741529525654,4.351223436982346,0.770179579494654,6.940222469119639,30.19845866550486,False
69,746,10.592077239812578,0.04155495978552279,6.385997535874101,0.8434073933817887,6.61472560020376,42.24162138338455,False
